fold	sentence
train	Two other TDRS spacecraft were decommissioned in 2009 and 2011 respectively and shifted into higher  graveyard  orbits .
train	It will replace INSAT-3E , decommissioned prematurely in April .; GSAT-16 will replace INSAT-3E , which was decommissioned a little prematurely in April .
train	Jason-1 was decommissioned in 2013 after nearly a dozen years .; Jason-1 was deactivated and decommissioned in July of 2013 .
train	GOES-3 Satellite Decommissioned Wednesday , July 20 , 2016 : : Staff infoZine Linked Antarctica to the world for more than 20 years Washington DC - infoZine - The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite that for 21 years had helped to link NSF 's Amundsen-Scott South Pole Station with the outside world .
train	Its successor , Jason-1 , operated from 2001 until it was decommissioned in 2013 .
train	Six of the satellites currently make up the TDRS service ( not including TDRS-L ) , one is in orbital storage , two satellites have been decommissioned , and TDRS-11 is now being tested .; Last year we posted about how sometimes satellites which have been decommissioned and shut down can spontaneously begin transmitting again when their batteries undergo a chemical change due to thousands of failed recharge cycles .
train	The last crewed mission was in 2013 , though the station continued to autonomously operate until it was decommissioned in March 2016 .; The last crewed mission was in 2013 , although the station continued to autonomously operate until it was decommissioned in March 2016 .
train	The oldest operating satellite , GOES-3 , will be decommissioned starting today .
train	This increase was offset in part by our success in managing our discretionary costs and by the reductions in our tracking , telemetry , control and payload management operations costs following the decommissioning of NSS-K in 2002 and NSS-513 in 2003 .
train	SVN27 / PRN27 , a Block IIA satellite launched in 1992 , was decommissioned on August 10 , 2011 .
train	 We've had to decommission two legacy spacecraft in the last year or two due to the fact that electronics start to die after 20 , 25 years ,  Buchanan said .;  We've had to decommission two legacy spacecraft in the last year or twodue to the fact that electronics start to die after 20 , 25 years ,  Buchanan said .
train	Credit : Jen Fritz , University of Miami The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite that for 21 years had helped to link NSF 's Amundsen-Scott South Pole Station with the outside world .; Credit and Larger Version July 19 , 2016 The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite that for 21 years had helped to link NSF 's Amundsen-Scott South Pole Station with the outside world .
train	Launched in late 1995 and decommissioned in 2012 , RXTE is one of NASA 's longest-serving astrophysics missions .
train	The satellite was decommissioned on 6 April 2006 after it had been moved to a graveyard orbit .
train	The Minotaur 1 rocket stands ready for launch from Wallops Island , Va. Credit : Thom Baur / Orbital Sciences Corp.The Minotaur 1 rocket , partially composed of decommissioned Minuteman missile stages , is scheduled to ignite and soar into space at 8:28 p.m. EDT Tuesday ( 0028 GMT Wednesday ) from pad 0B at the Mid-Atlantic Regional Spaceport , a commercial facility located on the grounds of NASA ’ s Wallops Flight Facility on Virginia ’ s Eastern Shore.The launch window extends for three hours , according to NASA and Air Force officials .;  The launch of the Minotaur 1 , which Space.com describes as  a fusion of decommissioned Minuteman missile stages and new commercial solid rocket motors ,  has been tentatively rescheduled for Nov. 19 .; The seven-story booster , powered by decommissioned Minuteman missile stages , streaked into a clear sky and surpassed the speed of sound in the first half-minute of flight.The launch was visible up and down the East Coast from North Carolina to New York.Turning southeast from the Virgnia coast , the Minotaur shed its solid-fueled first and second stages within two-and-a-half minutes .; ” The launch of the Minotaur 1 , which Space.com describes as “ a fusion of decommissioned Minuteman missile stages and new commercial solid rocket motors , ” has been tentatively rescheduled for Nov. 19 .
train	The two satellites replace a single satellite , SPOT 5 , which was decommissioned at the end of March 2015 .
train	Geostationary weather satellite services is another area that is now the subject of much debate as U.S. Central Command faces a significant gap in coverage over the Indian Ocean after the European satellite Meteosat-7 is decommissioned next year .
train	The Express-AM1 satellite , operating at 40 degrees east , also was decommissioned in August after less than nine years of operations .
train	PRN-04 was last used by USA-96 , a Block IIA satellite which was launched in October 1993 and decommissioned last October , after 22 years in orbit , to make way for the launch of the previous Block IIF spacecraft .
train	As it is imperative to prevent the satellite from drifting into the path of other satellites , Intelsat decommissioned the satellite on October 29th .
train	The 6 1/2 - ton satellite was deployed from space shuttle Discovery in 1991 and decommissioned in December 2005 .
train	GOES-11 had a partial failure 6 Dec 2011 , was decommissioned on 16 Dec 2011 and was boosted into a graveyard orbit .
train	On March 20 , NOAA plans to decommission NOAA-17 , one of its Polar-Orbiting Operational Environmental Satellites ( POES ) .
train	Goes-3 Satellite Decommissioned After Linking Antarctica To The World For More Than 20 Years Satellite provided telecommunications connection to NSF 's Amundsen-Scott South Pole Station July 18 , 2016 Tweet The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite - - among the oldest , continuously operating satellites in the skies - - that for 21 years had helped to link NSF 's Amundsen-Scott South Pole Station with the outside world .
train	Only TDRS-1 and TDRS-4 have been decommissioned – after twenty-six and twenty-three years of service respectively .
train	In 1995 , all of the Block I satellites were decommissioned .
train	SVN35 returned to active service , once again , this time as PRN30 , on August 16 , to replace SVN30 / PRN30 , which was decommissioned from active service on July 20 .
train	IS-6B was replaced by IS-11 during the first quarter of 2008 , Galaxy 10R was replaced by Galaxy 18 during the second quarter of 2008 , and Galaxy 4R was decommissioned in March 2009 .
train	Iridium 33 was decommissioned in a more dramatic fashion in 2009 when it collided over Siberia with a defunct Russian communications satellite at 22,000 mph .
train	NANU TYPE : GENERAL * * * GENERAL MESSAGE TO ALL GPS USERS * * * GPS Satellite SVN31 ( PRN31 ) was decommissioned from active service on JDAY 297 .
train	IS-709 was decommissioned in February 2013 .
train	NOTICE ADVISORY TO NAVSTAR USERS ( NANU ) 2005133-134 ( PRN31 ) was decommissioned From : Sam Wormley < swormley1@xxxxxxxxx > 1 .
train	GOES-14 is in on-orbit storage , and will be able to be activated for duty if another GOES satellite is decommissioned .
train	TDRS-1 was decommissioned in October 2009 .
train	The GOES-12 satellite , decommissioned Friday , kept a watchful eye on the East Coast from 2003 to 2010 .; The GOES-12 satellite , decommissioned Aug. 16 , kept a watchful eye on the East Coast from 2003 to 2010 .
train	The first satellite in the series ( TDRS 1 ) was operational for nearly 27 years , and was decommissioned in June of 2010 .
train	GOES-10 was decommissioned on December 2 , 2009 and was boosted to a graveyard orbit .
train	The GEO satelliteslocated at 134 ° E and 142 ° E are decommissioned GEO ( DGEO ) satellites .
train	[ 1 ] TDRS-4 was decommissioned in December 2011 .
train	Flight 1 was operational for nearly 27 years before being decommissioned in 2010 , while Flight 4 was retired in 2011 after 22 years of service .
train	The Rokot launch vehicle , developed by the Russian Khrunichev State Research and Production Space Center , is a modification of the RS-18 ( SS-19 Stiletto ) two-stage ballistic missile that is being decommissioned from Russia ’ s Strategic Missile Forces .
train	During 2002 and 2003 , we decommissioned two satellites , NSS-K in 2002 and NSS-513 in 2003 , when each reached the end of its operational life .
train	TDRS-4 mission complete ; spacecraft retired from active service May 8 , 2012 The Tracking and Data Relay Satellite 4 ( TDRS-4 ) recently completed almost 23 years of operations support and successfully completed end-of-mission de-orbit and decommissioning activities .
train	MTSAT-1R has been decommissioned .
train	The $ 740 million UARS was decommissioned in 2005 , after NASA lowered its orbit with the little remaining fuel on board .; UARS was launched on 12 September 1991 and decommissioned on 15 December 2005 .
train	IIR-4 , which is also known as USA-150 , will then be re-phased into a reserve slot in the A plane of the constellation to replace GPS IIA-19 , the final Block IIA satellite to launch , which is being decommissioned .
train	The original satellite is then decommissioned and the new satellite assumes its telecommunications duties and maintains the overall global coverage map for existing services .
train	Once one of the sentinel satellites nears the end of its lifespan , the satellite will be decommissioned at replaced by a new one .
train	Eventually , the Hubble Telescope will be decommissioned and then intentionally destroyed as it re-enters into Earth 's atmosphere over the Pacific Ocean .
train	Other successful launches followed in 1983 , 1987 , and 1993.The most recent satellite Sazuka was launched in 2005 and was decommissioned in 2015 due deteriorated batteries and other components .
train	In late 2012 , the 20-nation agency had said it would be moving Artemis into a retirement orbit and decommissioning the satellite in 2014 .
train	Marisat-F2 satellite held on for 32 years , served South Pole for 8 By Pat Smith , Special to The Antarctic Sun Posted December 12 , 2008 Concluding 32 years of distinguished service for global communications , one of three aged communications satellites used to connect South Pole Station to the rest of the world was decommissioned on Oct. 29 after eight years of service to the station .
train	From 3/3/1959 to 6/1/1984 ( Friday ) is : 9222 days 9222 * 0.3459 = 3189 From 7/16/1963 to 4/10/1972 is : 3191 days 34-59 Star Trek III : The Search for Spock ( 1984 ) Release Date : 1 June 1984 ( USA ) Plot Outline : Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock 's body .; ( early 80 ’ s ) May 28 , 2012 at 12:59 am At least she won ’ t be broken up , the fate the Big E got after WWII : Enterprise entered the New York Naval Shipyard on 18 January 1946 for deactivation , and was decommissioned on 17 February 1947 .
train	[ 13 ] GOES-11 was GOES-West over the eastern Pacific Ocean until it was decommissioned December 2011 and replaced by GOES-15 .
train	GSAT-16 , which would replace INSAT-3E , decommissioned prematurely in April , has a designated on orbit operational life of 12 years .
train	Eventually , Hubble will be decommissioned and then intentionally destroyed by plunging into Earth 's atmosphere over the Pacific Ocean .
train	Photo Credit : Bigelow Aerospace The Dnepr is a converted , Soviet-era SS-18 “ Satan ” intercontinental ballistic missile , decommissioned from military service with Russia ’ s Strategic Rocket Forces as part of the provisions of the 1991-signed Strategic Arms Reduction Treaty ( START ) .; The Dnepr is a converted , Soviet-era SS-18 intercontinental ballistic missile , decommissioned from military service with Russia ’ s Strategic Rocket Forces as part of the provisions of the 1991-signed Strategic Arms Reduction Treaty ( START ) .; Standing 113 feet tall and weighing an estimated 470,000 pounds , the Dnepr is a converted , Soviet-era SS-18 intercontinental ballistic missile , decommissioned from military service with Russia ’ s Strategic Rocket Forces as part of the provisions of the 1991-signed Strategic Arms Reduction Treaty ( START ) .
train	The Type 45 destroyers were built to replace the Type 42 destroyers that had served during the Falklands War , with the last Type 42 being decommissioned in 2013 .; [ 1 ] The Type 45 destroyers were built to replace the Type 42 ( Sheffield class ) destroyers that had served during the Falklands War , with the last Type 42 being decommissioned in 2013 .
train	The Minotaur IV launch vehicle is based on decommissioned Peacekeeper rocket motors that Orbital has upgraded and integrated with modern avionics and other subsystems to produce a cost-effective launcher based on flight-proven hardware .
train	Full decommissioning of the plant at Fukushima is expected to take several decades .
train	An important part of the initiative is the decommissioning of C-band radar tracking facilities and the replacement of their functionality by onboard GPS metric tracking systems ( GPS MT ) .
train	There was a good chance that Iridium ’ s $ 5 billion to $ 6 billion network would have been decommissioned entirely , letting the satellites fall out of orbit and burn up in the Earth ’ s atmosphere , creating one of the most spectacular pyrotechnics display the world has every seen .
train	Siero moved to the 88-Inch Cyclotron when the Bevatron - - responsible for pioneering cancer treatments , the Nobel Prize-winning discovery of the antiproton , and the discovery of the antineutron - - was decommissioned in 1993 .
train	 The Optus D2 satellite paves the way for the decommissioning of the ageing Optus B3 satellite , which has been in orbit for more than 15 years .
train	It began to suffer from power supply problems in 2003 and in mid-2005 Shin Satellite purchased the unlaunched Agrani 2 satellite from defunct Indian operator Agrani Communications to replace it , with Thaicom 3 being decommissioned within a year of the launch .
train	According to the paper , the launch of the satellite was previously scheduled for the middle of May 2006 , however its pre-launch processing was accelerated in light of the decommissioning of the last US-PU electronic intelligence spacecraft - - reportedly the last Russian reconnaissance asset in the Earth orbit .
train	We have decommissioned three satellites that had experienced failure of both XIPS .
train	After being leased to Israel ’ s SpaceCom to cover the Amos 5 satellite ’ s slot until its launch in 2011 , the spacecraft was decommissioned in 2012 .; The opportunity to assist with the decommissioning of a spacecraft is rare .
train	SA was suspended in May 2000 and permanently decommissioned in September 2007 ( Kovach & Van Dyke 1998 ) .
train	By the end of the 1990s chain has decommissioned all the craft although 4 were sold to North Korea .; The original facility was located on the roof of the building housing the Sirius studios in Rockefeller Center in New York City but has since been decommissioned .
train	Of the other two pads , Site 200/40 has been decommissioned and Site 81/23 has not been used since 2004 .
train	Contents E5 000000002016-01-25-000025 January 2016 [ 25 ] Decommissioned from active service using PRN23 on 13 February 2004 .
train	[ 41 ] In Reserve [ 34 ] Decommissioned from active service using PRN05 in March 2009 .
train	GOES-3 satellite decommissioned August 26 , 2016 The University of Miami 's 20-meter antenna at the Richmond Satellite Operations Center , which was used to communicate with the GOES-3 .; GOES-3 satellite decommissioned after linking Antarctica to the world for more than 20 years Satellite provided telecommunications connection to NSF 's Amundsen-Scott South Pole Station The University of Miami 's 20-meter antenna , which was used for GOES-3 communciations .
train	The Decommissioning of NOAA-17 After a Decade of Weather and Climate Observations + The NOAA 17 ( M ) is a member of the fourth-generation of NOAA 's polar-orbiting , operational , environmental satellites ( POES ) ( NOAA K-N ) managed by the NESDIS .
train	The flight phase of the mission successfully demonstrated a deorbit capability that could potentially be used to bring down decommissioned satellites and space debris by re-entering and totally burning up in the Earth 's atmosphere .
train	ICESat 2 is a follow-on to NASA ’ s ICESat 1 observatory , which was decommissioned in 2010 after its primary instrument failed .
train	The PakSat-IE was decommissioned later after the second satellite was launched in 2011 .
train	The satellite was built by Ball Aerospace & Technologies Corp. in Boulder , Colo. Minotaur launch vehicles are built by Orbital Sciences Corp. of Dalles , Va ., using rocket motors from decommissioned Peacekeeper intercontinental ballistic missiles .; The initial three-and-a-half minutes of flight were powered by left-over motor stages from decommissioned Peacekeeper intercontinental ballistic missiles .
train	Avanti is buying the remaining year or two of life of ESA ’ s Artemis data-relay satellite which is planned to be decommissioned next year .
train	After the missiles were decommissioned during START reductions , the base was chosen as a location of a new space launch site .
train	Harding argues that with many reactors being decommissioned within the following two decades ( see Figure 27 and Figure 28 ) , and not many having been built over the past decade ( less than 0.5 GW per year since 1996 , see Figure 26 ) , crucial technical experience for the maintenance , let alone significant expansion , of nuclear construction and operation programs may be lacking ( compare [ 2 ] ) .
train	It will become Himawari 8 ’ s backup , allowing Himawari 6 to be decommissioned .
train	An old reserve satellite in plane D , GPS IIA-14 or USA-96 , is to be decommissioned in order to free up space in the constellation – with its PRN-04 signal to be reused by the next Block IIF satellite when it launches .
train	One such incident occurred in 2009 when the then operational Iridium 33 collided with a decommissioned Russian satellite resulting in over 1,000 pieces of debris larger than 10 centimeters , some of which narrowly missed the International Space Station and other operating satellites .
train	“ In 2005 , NASA decommissioned UARS and intentionally placed it into an orbit a couple of hundred kilometres lower than its operational orbit .
train	With the larger Ariane 4 and later 5 rockets flying from ELA-2 and ELA-3 respectively , ELA-1 fell into disuse and was decommissioned .
train	The Russian company offers two systems based on this platform : the Kondor-E radar expected to be put into orbit late this year or in the beginning of 2007 on the back of the Strela light launch vehicle the NPOmash has converted from the decommissioned RS-18-UR-100 ( SS-19 Mod.1 Stilletto ) ballistic missile , and the telecommunications satellite Ruslan-MM .
train	Most decommissioned satellites either burns up over aa ocean or is ejected to a far-off orbital graveyard , but the 8-ton Tiangong 1 ’ s end is shaping up to be something very different .
train	Vu said the decision to decommission the sensor generated $ 36m in savings for the air force .; The spokesperson added that the decision to decommission the sensor generated $ 36m in savings for the air force .
train	The vehicle is now fully assembled at the launch pad , according to the Air Force.Minotaur 1 rockets are made up of decommissioned Minuteman missile stages and parts from Pegasus and Taurus commercial launchers.The booster could lift up to 800 pounds to a low-altitude polar orbit .; Minotaur 1 rockets are made up of decommissioned Minuteman missile stages and parts from Pegasus and Taurus commercial launchers .
train	Although Russia has not formally announced that the system is decommissioned , the current structure of the Russian Space Forces does not include any units that could operate the system , which means it is no longer functional .
train	Contents GOES-8 , a decommissioned United States weather satellite .
train	“ The satellite making news at the moment — the former Upper Atmospheric Research Satellite , and better characterised as a decommissioned or defunct satellite rather than space junk — falls into the second category .
train	Another real-life target that caught the Satellite Servicing Capabilities Office ’ s eye was GOES-12 , but the National Oceanic and Atmospheric Administration took it out of the running when it decommissioned the 12-year-old geostationary weather satellite last year .
train	Minotaur IV utilizes three government-furnished solid rocket motors from decommissioned Peacekeeper ICBMs and , in certain configurations , a commercial solid rocket upper stage .
train	The USS enterprise is being decommissioned right now .
train	Operators at Orbital Sciences Corporation in Dulles , Va ., sent the signal to decommission GALEX at 3:09 p.m. Eastern Time on Friday .
train	[ Ibid ] Following the decommissioning last year of U.S. space shuttles , the Kounotori has been gaining international attention as a means of transporting large payloads into space , JAXA said .
train	To prevent Marisat-F2 from drifting into the path of other satellites , Intelsat decommissioned it on Oct. 29th and began using its remaining fuel to raise it about 125 miles to disposal altitude , out of the way of other geosynchronous communications satellites .
train	Have Stare was apparently considered for installation at Pirinclik , Turkey , which currently operates an American AN / FPS-79 tracking radar , following the December 1995 decommissioning of its AN / FPS-17 system .
train	The last time a NASA satellite re-entered Earth 's atmosphere was in January 2002 , when the Extreme Ultraviolet Explorer spacecraft re-entered the Earth 's atmosphere and was decommissioned by NASA professionals .
train	 Surrey engineers use games console technology to make  space building blocks  , SSTL  Space innovators at the University of Surrey and Surrey Satellite Technology Limited ( SSTL ) are developing ' STRaND-2 ' , a twin-satellite mission to test a novel in-orbit docking system based upon XBOX Kinect technology that could change the way space assets are built , maintained and decommissioned .
train	The region has long been a hub for the Russian military and defense industry , and it is often the site where artillery shells are decommissioned .
train	The remainder of the cargo will be unloaded and transferred to NASA at the SpaceX McGregor test facility in Texas , where the Dragon capsule will be fully decommissioned and defueled .
train	The space company also said that with the operation of SPOT 6 and SPOT 7 , the services of SPOT 5 which has been in operation since 2002 is scheduled to be decommissioned during first quarter of 2015 .
train	At the moment , despite the huge costs of making and launching a satellite , it must be decommissioned and destroyed once its supply of manoeuvring propellant runs low : there is no option to refuel it .
train	Russian naval establishment had long agreed that since the decommissioning of Kiev class carriers the only operational carrier Admiral Kuznetsov was insufficient , and that three or four carriers were necessary to meet the Navy 's air support requirements .
train	The new antenna replaces a 119,000 pound , 44-year-old antenna that had an expected 10-12 year lifespan , and was decommissioned in 2004 due to a bad azimuth bearing .
train	When theTitan II ICBMs were decommissioned , the U.S. Air Force Space and MissileSystems Center , Los Angeles , Calif ., contracted with Lockheed Martin torefurbish 14 for use as space launch vehicles .
train	18 Miami Beach , June 2-6 , Summary – quality of IGU prediction  after decommission of satellite G29 ( October , 2008 ) there is no more significant difference in the standard orbit prediction performance .
train	Negotiations began when a U.S. official visited Russia in the early 1990s and found bomb-grade uranium from thousands of decommissioned warheads lying around in crumbling storage facilities .
train	He said , “ In pursuant to this engagement , the implementation commenced and the following milestones were achieved : Site survey , site acquisition , network design , link budget calculations , site deployment , user acceptance test and secured VPN link “ Twelve sites were deployed at no cost to the CBN but subsequently two of the sites were decommissioned .
train	Since Edusat was decommissioned , the existing channels are being beamed through Insat-4CR and Insat-3C .
train	There are around 800 operational satellites currently in orbit , the vast majority of objects orbiting the planet are decommissioned spacecraft , launchers ’ upper stages , and other fragments .
train	In February 2009 , the operational American communications satellite Iridium 33 collided with the decommissioned Russian communications satellite Cosmos 2251 .
train	At the end of March last year NASA discovered that its Fermi Gamma-ray Space Telescope was on course to pass within 700 feet of the decommissioned Russian Cosmos 1805 satellite .
train	These ships were either decommissioned or converted to seaplane tenders after the war .
train	These consisted of decommissioned Titan II missiles that were used to deploy satellites , with or without the aid of solid-fuelled upper stages .
train	The Kinkaid was decommissioned during a ceremony at the Naval Station San Diego .
train	He envisions more cleanup satellites , or decommissioning measures based on EPFL ’ s technology built into the designs of new satellites .
train	The source of the water has not been confirmed and will be investigated during the decommissioning of the capsule .
train	Naval Station San Diego ( Jan. 7 , 2003 ) - - Rear Adm David T. Hart , Jr ., Deputy Commander of Naval Region Europe was the guest speaker at the decommissioning ceremony held for the Spruance class destroyer USS Kinkaid ( DD 965 ) .
train	Although the satellite was designed for only a 5-year life , the communications payload operated within the original specifications until it was decommissioned .
train	According to Lim et al. [ 45 ] , decommissioning and spent fuel and waste disposal is not expected to add significantly to levelised cost .
train	See Also Click here to Join L2 Dnepr , a conversion of the Soviet-era R-36MUTTKh missile , was a joint venture between Russia and Ukraine to leverage leftover hardware from decommissioned intercontinental ballistic missiles to place commercial payloads into orbit .
train	References : blogs.discovermagazine & news.discovery Peacekeeper decommissioned intercontinental ballistic missiles ( ICBMs ) are being used as launchers for science missions .
train	The Air Force oversees the decommissioned intercontinental ballistic missiles-to-launchers program .
train	We looked at possibilities of using dishes on our roof but the link budget looked too tight , unfortunately the large dishes at Television Centre are now decommissioned so they couldn ’ t be used either .
train	After the decommissioning of the last Spruance-class destroyer , USS Cushing , on September 21 , 2005 , the Arleigh Burke class ships became the U.S. Navy 's only active destroyers .
train	Thursday ’ s launch marked the eighteenth flight of a Dnepr rocket , which is based on decommissioned R-36MUTTH missiles .
train	In order to better support DOD goals , DARPA changed the original first Phoenix missions from a decommissioned object to being able to work on operational spacecraft , and increased the focus on missions with both economic and resiliency value , such as inspection , repositioning and repair .
train	The Minotaur 1 's first and second stages were pulled from stockpiles of decommissioned Minuteman 2 intercontinental ballistic missiles .
train	The shuttle program ended in 2011 and the decommissioned orbiters were shipped to their final resting places in 2012 .
train	The first three stages of the Minotaur V are taken from decommissioned Peacekeeper missiles , which were developed for the US Air Force during the Cold War .
train	Most of the SS-18 missiles , the most powerful weapon in the Soviet arsenal , were decommissioned under the terms of the Strategic Arms Reduction Treaty , but could be adapted for civil use .
train	The Group has also built upon its position and experience as the supplier of choice for demolition stores for the UK MoD , and is developing a range of bespoke high explosive products for decommissioning purposes in the oil and gas market .
train	The target number is 33 and decommissioned reserves are available to maintain the numbers .
train	Broadcast PRN-01 before decommissioning , PRN-27 after reactivation .
train	We decommissioned NSS-K after we completed the transition of traffic .
train	All four stages for tonight ’ s launch are solid-fueled , with the lower two stages consisting of hardware from decommissioned Minuteman-II missiles and the upper two stages utilizing hardware from Orbital ’ s Pegasus air-launched booster .
train	The ORS 3 mission will mark the 11th launch of a Minotaur 1 vehicle , a four-stage booster powered by decommissioned Minuteman missile motors and heritage systems from the air-launched Pegasus rocket .
train	” It was the sixth launch in about a year for the Minotaur rocket family , which recycles components from decommissioned Minuteman and Peacekeeper nuclear missiles to propel satellites into space .
train	Credit : NASA Close call : Atlantis was almost decommissioned .
dev	As of 21st July 2014 , Hamsat-1 ( VO-52 ) has been officially decommissioned by ISRO , ” says Nekkanti .
dev	The two satellites replace a single satellite , SPOT 5 , which was decommissioned at the end of March 2015 .; They replace a single satellite , SPOT 5 , which was decommissioned at the end of March .
